"";"x";"predicted";"std.error";"conf.low";"conf.high";"group"
"1";0,2;4,21277959311324e-05;0,190004781868532;2,90296676062981e-05;6,11354124108272e-05;"Dynamic non-REW"
"2";0,2;4,13135919605785e-05;0,191161903261471;2,84041145531398e-05;6,00899867142289e-05;"Static non-REW"
"3";0,2;5,23476189690457e-05;0,180646580308877;3,67398233077946e-05;7,4585416997007e-05;"Dynamic REW"
"4";0,2;5,98249980134046e-05;0,177346545669338;4,2260308993186e-05;8,46894957279517e-05;"Static REW"
"5";0,4;3,80947370141441e-05;0,184447365306865;2,65379955531663e-05;5,46839222120378e-05;"Dynamic non-REW"
"6";0,4;3,71192866643185e-05;0,185619022553875;2,57991465561432e-05;5,34062084388628e-05;"Static non-REW"
"7";0,4;5,35218049631667e-05;0,176834542392363;3,78456286898725e-05;7,56907760429703e-05;"Dynamic REW"
"8";0,4;6,10023171144603e-05;0,173741994248999;4,33974812348801e-05;8,57482049724718e-05;"Static REW"
"9";0,6;3,45287973715537e-05;0,179527484313531;2,42868856871571e-05;4,90895668477962e-05;"Dynamic non-REW"
"10";0,6;3,34394217723892e-05;0,180707068218859;2,34663181893044e-05;4,76508577039015e-05;"Static non-REW"
"11";0,6;5,46942143086898e-05;0,173290753218488;3,89442076222632e-05;7,68134263398373e-05;"Dynamic REW"
"12";0,6;6,2169866526556e-05;0,170401256543761;4,45186297575068e-05;8,68190524708371e-05;"Static REW"
"13";0,8;3,1370264564959e-05;0,175241327239277;2,22513545413656e-05;4,42260636028769e-05;"Dynamic non-REW"
"14";0,8;3,02044128976428e-05;0,176422623707479;2,13748474384082e-05;4,26811575415262e-05;"Static non-REW"
"15";0,8;5,58635902831738e-05;0,170011342154803;4,00333379107546e-05;7,79530597899886e-05;"Dynamic REW"
"16";0,8;6,33262110031152e-05;0,167319870044769;4,56213635608005e-05;8,79013938216896e-05;"Static REW"
"17";1;2,85676942772214e-05;0,171579427307456;2,04093916343897e-05;3,99870074243667e-05;"Dynamic non-REW"
"18";1;2,73548643556715e-05;0,172756763521065;1,94978692706737e-05;3,83778465394156e-05;"Static non-REW"
"19";1;5,70286537000435e-05;0,166991452019324;4,11108684163879e-05;7,91091850630655e-05;"Dynamic REW"
"20";1;6,44699061911415e-05;0,164492380275823;4,67034095037858e-05;8,89943744195672e-05;"Static REW"
"21";1,2;2,60766919097975e-05;0,168526295215552;1,87415643769493e-05;3,6282558653854e-05;"Dynamic non-REW"
"22";1,2;2,48399823234002e-05;0,169694684020692;1,7811888090813e-05;3,46410783396637e-05;"Static non-REW"
"23";1,2;5,81881050847755e-05;0,164225217907767;4,21747396607207e-05;8,02811117131174e-05;"Dynamic REW"
"24";1,2;6,55995015489023e-05;0,1619123326857;4,77626328740823e-05;9,00969163227704e-05;"Static REW"
"25";1,4;2,38588835403258e-05;0,166060327347031;1,72306709564269e-05;3,30367211930624e-05;"Dynamic non-REW"
"26";1,4;2,26162485309579e-05;0,1672155975756;1,62963047663513e-05;3,13870813828119e-05;"Static non-REW"
"27";1,4;5,93406269496465e-05;0,161705765975683;4,32230026043592e-05;8,14679367496005e-05;"Dynamic REW"
"28";1,4;6,67135433335691e-05;0,159572285236827;4,87970551776197e-05;9,12077085136918e-05;"Static REW"
"29";1,6;2,18810454412877e-05;0,164154020099405;1,58614368747578e-05;3,01850998487059e-05;"Dynamic non-REW"
"30";1,6;2,06463097397537e-05;0,165292920785599;1,49330091244932e-05;2,85454304974887e-05;"Static non-REW"
"31";1,6;6,0484886162016e-05;0,159425233574367;4,42538349923507e-05;8,2668534261977e-05;"Dynamic REW"
"32";1,6;6,78105776505048e-05;0,157463842459241;4,98048685849718e-05;9,23252010918537e-05;"Static REW"
"33";1,8;2,0114366575535e-05;0,162774486869263;1,46202517991226e-05;2,76730464674991e-05;"Dynamic non-REW"
"34";1,8;1,88980462574877e-05;0,163894755489041;1,3706030496238e-05;2,60568112718238e-05;"Static non-REW"
"35";1,8;6,16195364006699e-05;0,157374811185231;4,52655547509253e-05;8,3881548602745e-05;"Dynamic REW"
"36";1,8;6,88891535555087e-05;0,155577710736879;5,07844466084047e-05;9,34476037976401e-05;"Static REW"
"37";2;1,85338227843762e-05;0,161884239182171;1,3494943800144e-05;2,54541216171981e-05;"Dynamic non-REW"
"38";2;1,73437892577159e-05;0,162984627831057;1,26012399329142e-05;2,38711817650871e-05;"Static non-REW"
"39";2;6,27432206943265e-05;0,155544805559676;4,62566300465205e-05;8,51053915032174e-05;"Dynamic REW"
"40";2;6,99478262009804e-05;0,153903773565063;5,1734350751233e-05;9,45728890929062e-05;"Static REW"
"41";2,2;1,71176449345335e-05;0,161442164431897;1,24745879903781e-05;2,3488812773067e-05;"Dynamic non-REW"
"42";2,2;1,59596619906593e-05;0,162522422509689;1,16060982605654e-05;2,19462552508266e-05;"Static non-REW"
"43";2,2;6,38545740359893e-05;0,15392472243754;4,7225685770594e-05;8,63382433396954e-05;"Dynamic REW"
"44";2,2;7,09851600166552e-05;0,152431184552401;5,26533330548719e-05;9,56987998366822e-05;"Static REW"
"45";2,4;1,58468662265268e-05;0,161404615257792;1,15493462206797e-05;2,17434617358819e-05;"Dynamic non-REW"
"46";2,4;1,47250243205904e-05;0,162465431804199;1,07094443506084e-05;2,02462431916808e-05;"Static non-REW"
"47";2,4;6,49522260664349e-05;0,152503366277075;4,81715063799957e-05;8,75780585973134e-05;"Dynamic REW"
"48";2,4;7,19997319152766e-05;0,151148475121047;5,35403346538124e-05;9,68228614052796e-05;"Static REW"
"49";2,6;1,47049362987808e-05;0,161726522132162;1,07103340664228e-05;2,01893636601932e-05;"Dynamic non-REW"
"50";2,6;1,36220035862977e-05;0,162769434607671;9,90131807538238e-06;1,87408101478402e-05;"Static non-REW"
"51";2,6;6,6034803819757e-05;0,15126895366446;4,90930351886919e-05;8,88225754087808e-05;"Dynamic REW"
"52";2,6;7,29901345133322e-05;0,15004367325435;5,43944806195127e-05;9,79423979314893e-05;"Static REW"
"53";2,8;1,36773917786288e-05;0,162362450097981;9,94951103598251e-06;1,88020078467849e-05;"Dynamic non-REW"
"54";2,8;1,26350977022424e-05;0,163389728606496;9,17281255862907e-06;1,74042022870793e-05;"Static non-REW"
"55";2,8;6,7100934523527e-05;0,150209236542383;4,99893703588274e-05;9,0069328889051e-05;"Dynamic REW"
"56";2,8;7,39549793567766e-05;0,149104429293334;5,52150715178206e-05;9,9054552190282e-05;"Static REW"
"57";3;1,27515746066087e-05;0,163267538959595;9,25958988087122e-06;1,75604365751254e-05;"Dynamic non-REW"
"58";3;1,17508388180636e-05;0,164282055550513;8,51595062878648e-06;1,62145189972154e-05;"Static non-REW"
"59";3;6,81492484458059e-05;0,14931163113919;5,08597579659808e-05;9,13156678562066e-05;"Dynamic REW"
"60";3;7,48929001414888e-05;0,14831814470717;5,60015722114984e-05;0,000100156308548043;"Static REW"
"61";3,2;1,19163908539293e-05;0,164398288631428;8,63396110885456e-06;1,64467029662664e-05;"Dynamic non-REW"
"62";3,2;1,09575078292478e-05;0,165403380634333;7,92358086298981e-06;1,51531031768448e-05;"Static non-REW"
"63";3,2;6,91783817809502e-05;0,148563348496372;5,17035826069695e-05;9,25587744316276e-05;"Dynamic REW"
"64";3,2;7,58025559181075e-05;0,147672099942803;5,67535985047668e-05;0,000101244518323941;"Static REW"
"65";3,4;1,11621039137706e-05;0,165713173240299;8,06662925048282e-06;1,54454124411115e-05;"Dynamic non-REW"
"66";3,4;1,02448916599217e-05;0,166712508010583;7,38928923373639e-06;1,42040304522406e-05;"Static non-REW"
"67";3,4;7,01869795658658e-05;0,14795152275799;5,25203560746515e-05;9,37956859528336e-05;"Dynamic REW"
"68";3,4;7,66826342707843e-05;0,147153577856096;5,74709022500718e-05;0,000102315926885895;"Static REW"
"69";3,6;1,04801569154485e-05;0,167173085777946;7,55215801593904e-06;1,45433350384196e-05;"Dynamic non-REW"
"70";3,6;9,60407658302092e-06;0,168170532241019;6,90732306602993e-06;1,33536811606674e-05;"Static non-REW"
"71";3,6;7,11736986181379e-05;0,147463333854438;5,33097046430604e-05;9,50233186101537e-05;"Dynamic REW"
"72";3,6;7,75318544593747e-05;0,146749979785533;5,81533555222612e-05;0,000103367201816178;"Static REW"
"73";3,8;9,86302001945856e-06;0,168741628090217;7,08562210627047e-06;1,3729077918526e-05;"Dynamic non-REW"
"74";3,8;9,02727195480002e-06;0,169741138462688;6,47252470379038e-06;1,25903817290336e-05;"Static non-REW"
"75";3,8;7,21372104872414e-05;0,147086121823942;5,4071355491519e-05;9,62384922299417e-05;"Dynamic REW"
"76";3,8;7,83489705145816e-05;0,146448931986367;5,88009344187337e-05;0,000104394961526222;"Static REW"
"77";4;9,30405892823733e-06;0,17038526865426;6,66256403231101e-06;1,29928089940201e-05;"Dynamic non-REW"
"78";4;8,5076596615403e-06;0,171390771957322;6,08027290981711e-06;1,190410428089e-05;"Static non-REW"
"79";4;7,30762044098706e-05;0,146807490703433;5,48051227543676e-05;9,74379556662123e-05;"Dynamic REW"
