"";"time";"group";"type";"rate"
"1";0,2;"Dynamic non-REW";"D";6,15874097185913e-05
"2";0,4;"Dynamic non-REW";"D";6,74603174603175e-05
"3";0,6;"Dynamic non-REW";"D";3,17460317460317e-05
"4";0,8;"Dynamic non-REW";"D";4,36507936507937e-05
"5";1;"Dynamic non-REW";"D";1,19047619047619e-05
"6";1,2;"Dynamic non-REW";"D";2,38095238095238e-05
"7";1,4;"Dynamic non-REW";"D";7,93650793650794e-06
"8";1,6;"Dynamic non-REW";"D";1,98412698412698e-05
"9";1,8;"Dynamic non-REW";"D";1,58730158730159e-05
"10";2;"Dynamic non-REW";"D";1,58730158730159e-05
"11";2,2;"Dynamic non-REW";"D";7,93650793650794e-06
"12";2,4;"Dynamic non-REW";"D";1,19047619047619e-05
"13";2,6;"Dynamic non-REW";"D";7,93650793650794e-06
"14";2,8;"Dynamic non-REW";"D";1,58730158730159e-05
"15";3;"Dynamic non-REW";"D";7,93650793650794e-06
"16";3,2;"Dynamic non-REW";"D";3,96825396825397e-06
"17";3,4;"Dynamic non-REW";"D";1,98412698412698e-05
"18";3,6;"Dynamic non-REW";"D";1,19047619047619e-05
"19";3,8;"Dynamic non-REW";"D";7,93650793650794e-06
"20";4;"Dynamic non-REW";"D";1,58730158730159e-05
"21";4,2;"Dynamic non-REW";"D";7,93650793650794e-06
"22";4,4;"Dynamic non-REW";"D";1,58730158730159e-05
"23";4,6;"Dynamic non-REW";"D";3,96825396825397e-06
"24";4,8;"Dynamic non-REW";"D";2,38095238095238e-05
"25";5;"Dynamic non-REW";"D";0
"26";5,2;"Dynamic non-REW";"D";1,19047619047619e-05
"27";5,4;"Dynamic non-REW";"D";7,93650793650794e-06
"28";5,6;"Dynamic non-REW";"D";2,38095238095238e-05
"29";5,8;"Dynamic non-REW";"D";3,96825396825397e-06
"30";6;"Dynamic non-REW";"D";1,58730158730159e-05
"31";6,2;"Dynamic non-REW";"D";3,96825396825397e-06
"32";6,4;"Dynamic non-REW";"D";7,93650793650794e-06
"33";6,6;"Dynamic non-REW";"D";0
"34";6,8;"Dynamic non-REW";"D";3,96825396825397e-06
"35";7;"Dynamic non-REW";"D";3,96825396825397e-06
"36";7,2;"Dynamic non-REW";"D";7,93650793650794e-06
"37";7,4;"Dynamic non-REW";"D";3,96825396825397e-06
"38";7,6;"Dynamic non-REW";"D";0
"39";7,8;"Dynamic non-REW";"D";7,93650793650794e-06
"40";8;"Dynamic non-REW";"D";1,58730158730159e-05
"41";8,2;"Dynamic non-REW";"D";3,96825396825397e-06
"42";8,4;"Dynamic non-REW";"D";0
"43";8,6;"Dynamic non-REW";"D";0
"44";8,8;"Dynamic non-REW";"D";0
"45";9;"Dynamic non-REW";"D";3,96825396825397e-06
"46";9,2;"Dynamic non-REW";"D";3,96825396825397e-06
"47";9,4;"Dynamic non-REW";"D";7,93650793650794e-06
"48";9,6;"Dynamic non-REW";"D";3,96825396825397e-06
"49";9,8;"Dynamic non-REW";"D";0
"50";10;"Dynamic non-REW";"D";0
"51";10,2;"Dynamic non-REW";"D";3,96825396825397e-06
"52";10,4;"Dynamic non-REW";"D";1,58730158730159e-05
"53";10,6;"Dynamic non-REW";"D";7,93650793650794e-06
"54";10,8;"Dynamic non-REW";"D";2,38095238095238e-05
"55";11;"Dynamic non-REW";"D";0
"56";11,2;"Dynamic non-REW";"D";3,96825396825397e-06
"57";11,4;"Dynamic non-REW";"D";3,96825396825397e-06
