"";"x";"predicted";"std.error";"conf.low";"conf.high";"group"
"1";0,2;3,71089985708181e-05;0,157347901208646;2,72614364076039e-05;5,05135846724021e-05;"Dynamic non-REW"
"2";0,2;3,48682784043752e-05;0,158604944044335;2,55522870615826e-05;4,7580582765068e-05;"Static non-REW"
"3";0,2;7,80901678762242e-05;0,140121231206094;5,93380257545934e-05;0,000102767796900641;"Dynamic REW"
"4";0,2;6,16793343298944e-05;0,144811203267129;4,64389912531542e-05;8,19208417806032e-05;"Static REW"
"5";0,4;3,36658771523584e-05;0,153221914738188;2,49327967606328e-05;4,54577089094014e-05;"Dynamic non-REW"
"6";0,4;3,18402740643993e-05;0,154403325239323;2,3526214879894e-05;4,3092357988889e-05;"Static non-REW"
"7";0,4;7,88520178925675e-05;0,137956797935807;6,0171645171341e-05;0,000103331139572475;"Dynamic REW"
"8";0,4;6,26493054190658e-05;0,142242457399895;4,74073719884143e-05;8,27912636827714e-05;"Static REW"
"9";0,6;3,06170794230402e-05;0,149545162734882;2,28388412412054e-05;4,10442482270584e-05;"Dynamic non-REW"
"10";0,6;2,91414833060531e-05;0,150643284587499;2,169137552305e-05;3,91503007877474e-05;"Static non-REW"
"11";0,6;7,96022531450672e-05;0,135963251533402;6,09819515202799e-05;0,000103907509012881;"Dynamic REW"
"12";0,6;6,36086394215352e-05;0,139869006762915;4,83577421860969e-05;8,36689093549237e-05;"Static REW"
"13";0,8;2,7912628513691e-05;0,146312828850292;2,09537641933756e-05;3,71824853388668e-05;"Dynamic non-REW"
"14";0,8;2,67322239847954e-05;0,147320507441759;2,00280450553039e-05;3,56804767251437e-05;"Static non-REW"
"15";0,8;8,03404025057695e-05;0,134135974364671;6,17682534114264e-05;0,000104496142804413;"Dynamic REW"
"16";0,8;6,45563868930441e-05;0,137686516855857;4,92886440997652e-05;8,45530944128924e-05;"Static REW"
"17";1;2,55094372270744e-05;0,143516659832298;1,92549321062321e-05;3,37955003936573e-05;"Dynamic non-REW"
"18";1;2,45780331307325e-05;0,144427423332443;1,85188029776682e-05;3,26197387418488e-05;"Static non-REW"
"19";1;8,10659991362745e-05;0,132469806047367;6,25299796108899e-05;0,000105096149802715;"Dynamic REW"
"20";1;6,54915982996647e-05;0,135689969664939;5,01987288330999e-05;8,54429895703402e-05;"Static REW"
"21";1,2;2,33702954487406e-05;0,141144828435029;1,77224581672035e-05;3,0817944167695e-05;"Dynamic non-REW"
"22";1,2;2,26489341219057e-05;0,141953055222059;1,71482378191263e-05;2,9914053975942e-05;"Static non-REW"
"23";1,2;8,17785809761806e-05;0,130959069980269;6,3266680470775e-05;0,000105706511386543;"Dynamic REW"
"24";1,2;6,64133255729509e-05;0,133873678457303;5,1086765009611e-05;8,63376166172996e-05;"Static REW"
"25";1,4;2,14630148112808e-05;0,139181938506216;1,6338834355104e-05;2,81941939347686e-05;"Dynamic non-REW"
"26";1,4;2,09188127496137e-05;0,139882998778556;1,59026897600169e-05;2,75171081794711e-05;"Static non-REW"
"27";1,4;8,24776912302525e-05;0,129597609371609;6,39780273408061e-05;0,000106326084787326;"Dynamic REW"
"28";1,4;6,73206236849171e-05;0,132231315896228;5,19516452475573e-05;8,7235846816268e-05;"Static REW"
"29";1,6;1,97597050244963e-05;0,137609181572036;1,50886136377664e-05;2,58768225770236e-05;"Dynamic non-REW"
"30";1,6;1,93648852060121e-05;0,138199542687189;1,47700259521858e-05;2,5389139072199e-05;"Static non-REW"
"31";1,6;8,31628788536038e-05;0,12837883193587;6,46638099962978e-05;0,000106953608456731;"Dynamic REW"
"32";1,6;6,82125522392582e-05;0,130755955089704;5,27923902724858e-05;8,81364018691817e-05;"Static REW"
"33";1,8;1,8236160623263e-05;0,136404639876222;1,3958136040368e-05;2,3825324332027e-05;"Dynamic non-REW"
"34";1,8;1,79672437831777e-05;0,136881928140093;1,37394449430532e-05;2,3495958572051e-05;"Static non-REW"
"35";1,8;8,38336990341759e-05;0,127295762090982;6,53239321903815e-05;0,000107587709357099;"Dynamic REW"
"36";1,8;6,90881770751308e-05;0,129440122616807;5,36081505951889e-05;8,90378575118898e-05;"Static REW"
"37";2;1,68713404608795e-05;0,135543716610861;1,29352932299834e-05;2,20050510621721e-05;"Dynamic non-REW"
"38";2;1,67084683661729e-05;0,135906732416549;1,28013071283983e-05;2,18081309524153e-05;"Static non-REW"
"39";2;8,44897136717919e-05;0,126341099217714;6,59584055045683e-05;0,000108226911993171;"Dynamic REW"
"40";2;6,9946571879725e-05;0,128275862058182;5,43982057820797e-05;8,99386496922667e-05;"Static REW"
"41";2,2;1,56469252271767e-05;0,134999662433938;1,20093268804314e-05;2,03863215436547e-05;"Dynamic non-REW"
"42";2,2;1,55732937116721e-05;0,135248350108885;1,19469884829501e-05;2,03002798924965e-05;"Static non-REW"
"43";2,2;8,51304918530732e-05;0,125507280356806;6,65673417264665e-05;0,000108869648948531;"Dynamic REW"
"44";2,2;7,07868198057861e-05;0,127254806129135;5,51619614405694e-05;9,08370831913173e-05;"Static REW"
"45";2,4;1,4546940710429e-05;0,134744160166115;1,11706565165161e-05;1,89436733439014e-05;"Dynamic non-REW"
"46";2,4;1,45483240950495e-05;0,134879537886502;1,11687550001462e-05;1,89505023188786e-05;"Static non-REW"
"47";2,4;8,57556103214947e-05;0,124786545626483;6,71509440236322e-05;0,000109514272649809;"Dynamic REW"
"48";2,4;7,16080150901708e-05;0,126368255207574;5,58989441270089e-05;9,1731342460497e-05;"Static REW"
"49";2,6;1,35574365419173e-05;0,13474792763733;1,04107328691164e-05;1,76552326411099e-05;"Dynamic non-REW"
"50";2,6;1,36217882372229e-05;0,134771985717595;1,04596553743666e-05;1,77398710334336e-05;"Static non-REW"
"51";2,6;8,63646539418692e-05;0,124171004644135;6,77094972064587e-05;0,00011015906805755;"Dynamic REW"
"52";2,6;7,24092646694869e-05;0,12560725988271;5,66087944534726e-05;9,26195043787198e-05;"Static REW"
"53";2,8;1,26662118366684e-05;0,134981301716817;9,72191307150771e-06;1,65021820349808e-05;"Dynamic non-REW"
"54";2,8;1,27833285329884e-05;0,134896879166798;9,8134295395581e-06;1,66520114957177e-05;"Static non-REW"
"55";2,8;8,69572161585454e-05;0,123652702323918;6,82433573804525e-05;0,000110802265975048;"Dynamic REW"
"56";2,8;7,31896897888063e-05;0,124962705128337;5,72912587182628e-05;9,34995525829293e-05;"Static REW"
"57";3;1,18625805345035e-05;0,135414773401199;9,0973543394764e-06;1,54683101709923e-05;"Dynamic non-REW"
"58";3;1,20238195321241e-05;0,13522542285791;9,22443078213397e-06;1,56727408697478e-05;"Static non-REW"
"59";3;8,75328994466187e-05;0,123223682583073;6,87529412803983e-05;0,000111442056674138;"Dynamic REW"
"60";3;7,39484275994292e-05;0,124425393817127;5,79461794118371e-05;9,43693929984343e-05;"Static REW"
"61";3,2;1,1137170401986e-05;0,136019452775309;8,53092312351559e-06;1,45396300031498e-05;"Dynamic non-REW"
"62";3,2;1,13352114037482e-05;0,135729303002398;8,68755929735064e-06;1,47897596427132e-05;"Static non-REW"
"63";3,2;8,80913157554486e-05;0,122876048705768;6,92387155579915e-05;0,000112076603557761;"Dynamic REW"
"64";3,2;7,46846327416551e-05;0,123986127519081;5,85734849553411e-05;9,52268701889491e-05;"Static REW"
