"";"time";"group";"type";"rate"
"1";0,2;"Dynamic non-REW";"L";4,11708178429374e-05
"2";0,4;"Dynamic non-REW";"L";3,93518518518519e-05
"3";0,6;"Dynamic non-REW";"L";3,7037037037037e-05
"4";0,8;"Dynamic non-REW";"L";4,39814814814815e-05
"5";1;"Dynamic non-REW";"L";2,31481481481482e-05
"6";1,2;"Dynamic non-REW";"L";2,08333333333333e-05
"7";1,4;"Dynamic non-REW";"L";2,31481481481482e-05
"8";1,6;"Dynamic non-REW";"L";2,31481481481482e-05
"9";1,8;"Dynamic non-REW";"L";1,38888888888889e-05
"10";2;"Dynamic non-REW";"L";6,94444444444444e-06
"11";2,2;"Dynamic non-REW";"L";9,25925925925926e-06
"12";2,4;"Dynamic non-REW";"L";4,62962962962963e-06
"13";2,6;"Dynamic non-REW";"L";3,24074074074074e-05
"14";2,8;"Dynamic non-REW";"L";4,62962962962963e-06
"15";3;"Dynamic non-REW";"L";1,15740740740741e-05
"16";3,2;"Dynamic non-REW";"L";4,62962962962963e-06
"17";3,4;"Dynamic non-REW";"L";6,94444444444444e-06
"18";3,6;"Dynamic non-REW";"L";1,62037037037037e-05
"19";3,8;"Dynamic non-REW";"L";4,62962962962963e-06
"20";4;"Dynamic non-REW";"L";1,15740740740741e-05
"21";4,2;"Dynamic non-REW";"L";4,62962962962963e-06
"22";4,4;"Dynamic non-REW";"L";1,38888888888889e-05
"23";4,6;"Dynamic non-REW";"L";1,85185185185185e-05
"24";4,8;"Dynamic non-REW";"L";6,94444444444444e-06
"25";5;"Dynamic non-REW";"L";2,31481481481481e-06
"26";5,2;"Dynamic non-REW";"L";4,62962962962963e-06
"27";5,4;"Dynamic non-REW";"L";2,31481481481481e-06
"28";5,6;"Dynamic non-REW";"L";1,38888888888889e-05
"29";5,8;"Dynamic non-REW";"L";4,62962962962963e-06
"30";6;"Dynamic non-REW";"L";0
"31";6,2;"Dynamic non-REW";"L";4,62962962962963e-06
"32";6,4;"Dynamic non-REW";"L";4,62962962962963e-06
"33";6,6;"Dynamic non-REW";"L";4,62962962962963e-06
"34";6,8;"Dynamic non-REW";"L";4,62962962962963e-06
"35";7;"Dynamic non-REW";"L";6,94444444444444e-06
"36";7,2;"Dynamic non-REW";"L";4,62962962962963e-06
"37";7,4;"Dynamic non-REW";"L";1,62037037037037e-05
"38";7,6;"Dynamic non-REW";"L";9,25925925925926e-06
"39";7,8;"Dynamic non-REW";"L";0
"40";8;"Dynamic non-REW";"L";9,25925925925926e-06
"41";8,2;"Dynamic non-REW";"L";9,25925925925926e-06
"42";8,4;"Dynamic non-REW";"L";4,62962962962963e-06
"43";8,6;"Dynamic non-REW";"L";6,94444444444444e-06
"44";8,8;"Dynamic non-REW";"L";6,94444444444444e-06
"45";9;"Dynamic non-REW";"L";2,31481481481481e-06
"46";9,2;"Dynamic non-REW";"L";2,31481481481481e-06
"47";9,4;"Dynamic non-REW";"L";6,94444444444444e-06
"48";9,6;"Dynamic non-REW";"L";1,38888888888889e-05
"49";9,8;"Dynamic non-REW";"L";6,94444444444444e-06
"50";10;"Dynamic non-REW";"L";6,94444444444444e-06
"51";10,2;"Dynamic non-REW";"L";2,31481481481481e-06
"52";10,4;"Dynamic non-REW";"L";2,31481481481481e-06
"53";10,6;"Dynamic non-REW";"L";4,62962962962963e-06
"54";10,8;"Dynamic non-REW";"L";2,31481481481481e-06
"55";11;"Dynamic non-REW";"L";2,31481481481481e-06
"56";11,2;"Dynamic non-REW";"L";6,94444444444444e-06
"57";11,4;"Dynamic non-REW";"L";6,94444444444444e-06
"58";11,6;"Dynamic non-REW";"L";4,62962962962963e-06
"59";11,8;"Dynamic non-REW";"L";6,94444444444444e-06
"60";12;"Dynamic non-REW";"L";1,38888888888889e-05
"61";12,2;"Dynamic non-REW";"L";2,08333333333333e-05
"62";12,4;"Dynamic non-REW";"L";9,25925925925926e-06
"63";12,6;"Dynamic non-REW";"L";6,94444444444444e-06
"64";12,8;"Dynamic non-REW";"L";1,62037037037037e-05
"65";13;"Dynamic non-REW";"L";1,85185185185185e-05
"66";13,2;"Dynamic non-REW";"L";6,94444444444444e-06
"67";13,4;"Dynamic non-REW";"L";1,15740740740741e-05
"68";13,6;"Dynamic non-REW";"L";1,62037037037037e-05
"69";13,8;"Dynamic non-REW";"L";1,85185185185185e-05
"70";14;"Dynamic non-REW";"L";6,94444444444444e-06
"71";14,2;"Dynamic non-REW";"L";9,25925925925926e-06
"72";14,4;"Dynamic non-REW";"L";1,62037037037037e-05
"73";14,6;"Dynamic non-REW";"L";2,5462962962963e-05
"74";14,8;"Dynamic non-REW";"L";1,15740740740741e-05
"75";15;"Dynamic non-REW";"L";1,80760597427264e-05
"76";0,2;"Static non-REW";"L";5,34459088081432e-05
"77";0,4;"Static non-REW";"L";5,78703703703704e-05
"78";0,6;"Static non-REW";"L";3,7037037037037e-05
"79";0,8;"Static non-REW";"L";3,47222222222222e-05
"80";1;"Static non-REW";"L";1,85185185185185e-05
"81";1,2;"Static non-REW";"L";2,31481481481482e-05
"82";1,4;"Static non-REW";"L";1,85185185185185e-05
"83";1,6;"Static non-REW";"L";1,38888888888889e-05
"84";1,8;"Static non-REW";"L";6,94444444444444e-06
"85";2;"Static non-REW";"L";9,25925925925926e-06
"86";2,2;"Static non-REW";"L";4,62962962962963e-06
"87";2,4;"Static non-REW";"L";9,25925925925926e-06
"88";2,6;"Static non-REW";"L";1,15740740740741e-05
"89";2,8;"Static non-REW";"L";1,62037037037037e-05
"90";3;"Static non-REW";"L";4,62962962962963e-06
"91";3,2;"Static non-REW";"L";4,62962962962963e-06
"92";3,4;"Static non-REW";"L";1,38888888888889e-05
"93";3,6;"Static non-REW";"L";9,25925925925926e-06
"94";3,8;"Static non-REW";"L";6,94444444444444e-06
"95";4;"Static non-REW";"L";1,15740740740741e-05
