"";"time";"group";"type";"rate"
"301";0,2;"Control 1";"N";5,58455614098284e-05
"302";0,4;"Control 1";"N";4,16666666666667e-05
"303";0,6;"Control 1";"N";6,94444444444444e-05
"304";0,8;"Control 1";"N";6,25e-05
"305";1;"Control 1";"N";7,63888888888889e-05
"306";1,2;"Control 1";"N";6,25e-05
"307";1,4;"Control 1";"N";4,16666666666667e-05
"308";1,6;"Control 1";"N";9,72222222222222e-05
"309";1,8;"Control 1";"N";4,16666666666667e-05
"310";2;"Control 1";"N";9,72222222222222e-05
"311";2,2;"Control 1";"N";4,86111111111111e-05
"312";2,4;"Control 1";"N";9,72222222222222e-05
"313";2,6;"Control 1";"N";8,33333333333333e-05
"314";2,8;"Control 1";"N";6,25e-05
"315";3;"Control 1";"N";8,33333333333333e-05
"316";3,2;"Control 1";"N";9,72222222222222e-05
"317";3,4;"Control 1";"N";6,25e-05
"318";3,6;"Control 1";"N";8,33333333333333e-05
"319";3,8;"Control 1";"N";7,63888888888889e-05
"320";4;"Control 1";"N";8,33333333333333e-05
"321";4,2;"Control 1";"N";7,63888888888889e-05
"322";4,4;"Control 1";"N";6,94444444444444e-05
"323";4,6;"Control 1";"N";7,63888888888889e-05
"324";4,8;"Control 1";"N";9,02777777777778e-05
"325";5;"Control 1";"N";8,33333333333333e-05
"326";5,2;"Control 1";"N";7,63888888888889e-05
"327";5,4;"Control 1";"N";6,25e-05
"328";5,6;"Control 1";"N";6,25e-05
"329";5,8;"Control 1";"N";7,63888888888889e-05
"330";6;"Control 1";"N";6,25e-05
"331";6,2;"Control 1";"N";9,02777777777778e-05
"332";6,4;"Control 1";"N";7,63888888888889e-05
"333";6,6;"Control 1";"N";6,25e-05
"334";6,8;"Control 1";"N";6,94444444444444e-05
"335";7;"Control 1";"N";0,000111111111111111
"336";7,2;"Control 1";"N";6,25e-05
"337";7,4;"Control 1";"N";6,25e-05
"338";7,6;"Control 1";"N";9,02777777777778e-05
"339";7,8;"Control 1";"N";5,55555555555556e-05
"340";8;"Control 1";"N";8,33333333333333e-05
"341";8,2;"Control 1";"N";2,08333333333333e-05
"342";8,4;"Control 1";"N";5,55555555555556e-05
"343";8,6;"Control 1";"N";7,63888888888889e-05
"344";8,8;"Control 1";"N";9,02777777777778e-05
"345";9;"Control 1";"N";8,33333333333333e-05
"346";9,2;"Control 1";"N";4,86111111111111e-05
"347";9,4;"Control 1";"N";9,72222222222222e-05
"348";9,6;"Control 1";"N";0,000104166666666667
"349";9,8;"Control 1";"N";6,37626262626263e-05
"350";10;"Control 1";"N";0,000125
"351";0,2;"Compl non-REW";"N";8,75860030003507e-05
"352";0,4;"Compl non-REW";"N";7,63888888888889e-05
"353";0,6;"Compl non-REW";"N";6,25e-05
"354";0,8;"Compl non-REW";"N";7,63888888888889e-05
"355";1;"Compl non-REW";"N";0,000118055555555556
"356";1,2;"Compl non-REW";"N";8,33333333333333e-05
"357";1,4;"Compl non-REW";"N";4,16666666666667e-05
