"";"x";"predicted";"conf.low";"conf.high";"group"
"1";0;0,0262859703414328;0,035704067890054;0,0167758880000921;"Control 1"
"2";0;0,0290976256909373;0,0397425582924289;0,0183346887031545;"Compl non-REW"
"3";0;0,0302636265701546;0,0409308516530472;0,0194777555156287;"Compl REW"
"4";0;0,025551240711429;0,034801953962743;0,01621186617862;"Control 2"
"5";0,04;0,0312183898314803;0,04151634149825;0,0208097969371941;"Control 1"
"6";0,04;0,0345482100440373;0,0462241666115625;0,0227293184628596;"Compl non-REW"
"7";0,04;0,0359285563711491;0,0475545246396905;0,0241606764219103;"Compl REW"
"8";0,04;0,030347953243674;0,0404813705666751;0,020107517522601;"Control 2"
"9";0,08;0,0542587486260848;0,0680330035739771;0,0402809134011043;"Control 1"
"10";0,08;0,0599689077375578;0,0757976341096473;0,0438690842683286;"Compl non-REW"
"11";0,08;0,0623316258934037;0,0776599231642655;0,0467485888545053;"Compl REW"
"12";0,08;0,0527636165565235;0,0664280804060854;0,0388991492917162;"Control 2"
"13";0,12;0,0707374479989137;0,0866101762770616;0,0545888862305645;"Control 1"
"14";0,12;0,0781089488774072;0,0965088902329878;0,0593342856919946;"Compl non-REW"
"15";0,12;0,0811549683795663;0,0986476614817458;0,0633227917048805;"Compl REW"
"16";0,12;0,0688049935718175;0,084635205159485;0,0527010161584127;"Control 2"
"17";0,16;0,0773334389438263;0,0939860628563909;0,0603747381909344;"Control 1"
"18";0,16;0,0853601848060958;0,104729572061241;0,0655717362808231;"Compl non-REW"
"19";0,16;0,0886751454489008;0,106957971005387;0,0700180242831642;"Compl REW"
"20";0,16;0,075228185649744;0,0918700849697145;0,0582813158532015;"Control 2"
"21";0,2;0,092184452858458;0,110495242313962;0,0734967289261149;"Control 1"
"22";0,2;0,10166585055283;0,123116804707695;0,0796901475641132;"Compl non-REW"
"23";0,2;0,105576683371418;0,125514431259283;0,0851843667576075;"Compl REW"
"24";0,2;0,0896949139190368;0,108075867014652;0,0709351624209474;"Control 2"
"25";0,24;0,103746696699756;0,123270521069905;0,0837880977187405;"Control 1"
"26";0,24;0,114340602442963;0,137328660258132;0,0907399697365605;"Compl non-REW"
"27";0,24;0,118706010014242;0,139833048461547;0,0970600586364239;"Compl REW"
"28";0,24;0,100962607667763;0,120626167098884;0,0808593540417106;"Control 2"
"29";0,28;0,123590837435421;0,14506580219921;0,101576446230635;"Control 1"
"30";0,28;0,136052664440156;0,161540863876993;0,109789652871705;"Compl non-REW"
"31";0,28;0,141178944447846;0,1641796365571;0,117545303130073;"Compl REW"
"32";0,28;0,120310842801377;0,142054856219791;0,0980157427278697;"Control 2"
