"";"time";"group";"type";"rate";"stimulus"
"1";0,2;"NR";"L";4,97054097040733e-05;"Familiar non-REW"
"2";0,4;"NR";"L";5,6712962962963e-05;"Familiar non-REW"
"3";0,6;"NR";"L";4,05092592592593e-05;"Familiar non-REW"
"4";0,8;"NR";"L";6,01851851851852e-05;"Familiar non-REW"
"5";1;"NR";"L";4,74537037037037e-05;"Familiar non-REW"
"6";1,2;"NR";"L";4,16666666666667e-05;"Familiar non-REW"
"7";1,4;"NR";"L";3,35648148148148e-05;"Familiar non-REW"
"8";1,6;"NR";"L";3,125e-05;"Familiar non-REW"
"9";1,8;"NR";"L";3,47222222222222e-05;"Familiar non-REW"
"10";2;"NR";"L";4,16666666666667e-05;"Familiar non-REW"
"11";2,2;"NR";"L";3,35648148148148e-05;"Familiar non-REW"
"12";2,4;"NR";"L";3,00925925925926e-05;"Familiar non-REW"
"13";2,6;"NR";"L";3,125e-05;"Familiar non-REW"
"14";2,8;"NR";"L";2,66203703703704e-05;"Familiar non-REW"
"15";3;"NR";"L";3,00925925925926e-05;"Familiar non-REW"
"16";3,2;"NR";"L";2,5462962962963e-05;"Familiar non-REW"
"17";3,4;"NR";"L";2,19907407407407e-05;"Familiar non-REW"
"18";3,6;"NR";"L";2,5462962962963e-05;"Familiar non-REW"
"19";3,8;"NR";"L";2,19907407407407e-05;"Familiar non-REW"
"20";4;"NR";"L";2,5462962962963e-05;"Familiar non-REW"
"21";4,2;"NR";"L";2,5462962962963e-05;"Familiar non-REW"
"22";4,4;"NR";"L";1,73611111111111e-05;"Familiar non-REW"
"23";4,6;"NR";"L";1,62037037037037e-05;"Familiar non-REW"
"24";4,8;"NR";"L";3,125e-05;"Familiar non-REW"
"25";5;"NR";"L";9,25925925925926e-06;"Familiar non-REW"
"26";5,2;"NR";"L";1,62037037037037e-05;"Familiar non-REW"
"27";5,4;"NR";"L";9,25925925925926e-06;"Familiar non-REW"
"28";5,6;"NR";"L";1,85185185185185e-05;"Familiar non-REW"
"29";5,8;"NR";"L";1,62037037037037e-05;"Familiar non-REW"
"30";6;"NR";"L";2,19907407407407e-05;"Familiar non-REW"
"31";6,2;"NR";"L";1,73611111111111e-05;"Familiar non-REW"
"32";6,4;"NR";"L";1,85185185185185e-05;"Familiar non-REW"
"33";6,6;"NR";"L";1,62037037037037e-05;"Familiar non-REW"
"34";6,8;"NR";"L";1,04166666666667e-05;"Familiar non-REW"
"35";7;"NR";"L";1,27314814814815e-05;"Familiar non-REW"
"36";7,2;"NR";"L";1,27314814814815e-05;"Familiar non-REW"
"37";7,4;"NR";"L";6,94444444444444e-06;"Familiar non-REW"
"38";7,6;"NR";"L";1,04166666666667e-05;"Familiar non-REW"
"39";7,8;"NR";"L";1,27314814814815e-05;"Familiar non-REW"
"40";8;"NR";"L";1,38888888888889e-05;"Familiar non-REW"
"41";8,2;"NR";"L";1,50462962962963e-05;"Familiar non-REW"
"42";8,4;"NR";"L";1,73611111111111e-05;"Familiar non-REW"
"43";8,6;"NR";"L";1,62037037037037e-05;"Familiar non-REW"
"44";8,8;"NR";"L";9,25925925925926e-06;"Familiar non-REW"
"45";9;"NR";"L";1,15740740740741e-05;"Familiar non-REW"
"46";9,2;"NR";"L";1,38888888888889e-05;"Familiar non-REW"
"47";9,4;"NR";"L";1,27314814814815e-05;"Familiar non-REW"
"48";9,6;"NR";"L";8,10185185185185e-06;"Familiar non-REW"
"49";9,8;"NR";"L";1,50462962962963e-05;"Familiar non-REW"
"50";10;"NR";"L";1,15740740740741e-05;"Familiar non-REW"
"51";10,2;"NR";"L";2,08333333333333e-05;"Familiar non-REW"
