"";"x";"predicted";"conf.low";"conf.high";"group";"facet";"stimuli"
"1";0;0,0129446455393999;0,0159105657892451;0,00996978638357449;"NR";"L";"Familiar non-REW"
"3";0;0,0494023462814361;0,059099875771598;0,0396048677363311;"R";"L";"Familiar REW"
"5";0,04;0,0172458105108697;0,0208421681418154;0,0136362437855483;"NR";"L";"Familiar non-REW"
"7";0,04;0,0654087370876972;0,076662181852214;0,0540181377340595;"R";"L";"Familiar REW"
"9";0,08;0,0252266994800364;0,0299329108590061;0,0204976562518148;"NR";"L";"Familiar non-REW"
"11";0,08;0,094577427603915;0,108299959470386;0,0806437172331633;"R";"L";"Familiar REW"
"13";0,12;0,0325928372245546;0,0382816873010352;0,0268703359065772;"NR";"L";"Familiar non-REW"
"15";0,12;0,120894086868895;0,136578779301013;0,104924470264436;"R";"L";"Familiar REW"
"17";0,16;0,0410738273287667;0,0478610314571586;0,0342382414605213;"NR";"L";"Familiar non-REW"
"19";0,16;0,150485221929653;0,168166102543232;0,132428528860934;"R";"L";"Familiar REW"
"21";0,2;0,0507063543969565;0,0587090656847143;0,0426356052841007;"NR";"L";"Familiar non-REW"
"23";0,2;0,183189602588478;0,202872321016587;0,163020877445341;"R";"L";"Familiar REW"
"25";0,24;0,0592006804840379;0,0682520580698885;0,0500613741435159;"NR";"L";"Familiar non-REW"
"27";0,24;0,211245157183191;0,23249950508328;0,189402213825967;"R";"L";"Familiar REW"
"29";0,28;0,0665078837274881;0,0764456133173825;0,056463221107091;"NR";"L";"Familiar non-REW"
"31";0,28;0,234801474782314;0,257281707350484;0,211640821573747;"R";"L";"Familiar REW"
"33";0,32;0,0723223421504778;0,0829551550928757;0,0615662454758875;"NR";"L";"Familiar non-REW"
"35";0,32;0,253168973954646;0,276552107140072;0,229030055973986;"R";"L";"Familiar REW"
"37";0,36;0,0811666337365995;0,0928402157432174;0,0693428328609023;"NR";"L";"Familiar non-REW"
"39";0,36;0,280476950826076;0,305119403873068;0,254960605925494;"R";"L";"Familiar REW"
"41";0,4;0,0885096553172731;0,101033143786791;0,0758117023918501;"NR";"L";"Familiar non-REW"
"43";0,4;0,302580031371036;0,328170304194586;0,276015014401355;"R";"L";"Familiar REW"
"45";0,44;0,094298878489902;0,107482871818305;0,0809201351958181;"NR";"L";"Familiar non-REW"
"47";0,44;0,319647254177312;0,345928826976712;0,29230964787988;"R";"L";"Familiar REW"
"49";0,48;0,100726763886194;0,114633646514034;0,0866014390466495;"NR";"L";"Familiar non-REW"
"51";0,48;0,338231685565211;0,365227895491089;0,310087354376308;"R";"L";"Familiar REW"
"53";0,52;0,107246206993244;0,121875265869913;0,0923734363119763;"NR";"L";"Familiar non-REW"
"55";0,52;0,35669292737015;0,384360117188986;0,327782359053845;"R";"L";"Familiar REW"
"57";0,56;0,115011266217993;0,13048694129416;0,0992601536234767;"NR";"L";"Familiar non-REW"
"59";0,56;0,378179038306133;0,406572482614302;0,348427066366429;"R";"L";"Familiar REW"
"61";0,6;0,123482719067539;0,139865721631558;0,106787668978195;"NR";"L";"Familiar non-REW"
"63";0,6;0,401006755736187;0,430104868216331;0,370422931056226;"R";"L";"Familiar REW"
"65";0,64;0,132702535999236;0,150053492360899;0,114997374185868;"NR";"L";"Familiar non-REW"
"67";0,64;0,425137241299995;0,45490791991908;0,393740611143861;"R";"L";"Familiar REW"
"69";0,68;0,141189187205689;0,15941262042379;0,12257068082051;"NR";"L";"Familiar non-REW"
"71";0,68;0,446703545341869;0,477010314181831;0,414640527263296;"R";"L";"Familiar REW"
"73";0,72;0,147652018501428;0,166528080949967;0,128348460266388;"NR";"L";"Familiar non-REW"
"75";0,72;0,462719254842132;0,493382403181156;0,430200212290263;"R";"L";"Familiar REW"
"77";0,76;0,155130939632209;0,174750794586413;0,135044633203834;"NR";"L";"Familiar non-REW"
"79";0,76;0,480820213507568;0,511839742808706;0,44782958724823;"R";"L";"Familiar REW"
