"";"x";"predicted";"group";"facet";"stimulus"
"2";0,2;0,000130761574279869;"NR";"N";"Compl non-REW"
"4";0,2;0,000100278601044658;"R";"N";"Compl REW"
"6";0,4;0,000128805137001806;"NR";"N";"Compl non-REW"
"8";0,4;0,000101742797797782;"R";"N";"Compl REW"
"10";0,6;0,000126860697989281;"NR";"N";"Compl non-REW"
"12";0,6;0,000103140626309699;"R";"N";"Compl REW"
"14";0,8;0,00012492860152536;"NR";"N";"Compl non-REW"
"16";0,8;0,000104468782380853;"R";"N";"Compl REW"
"18";1;0,000123009181673419;"NR";"N";"Compl non-REW"
"20";1;0,000105724096685833;"R";"N";"Compl REW"
"22";1,2;0,000121102762252158;"NR";"N";"Compl non-REW"
"24";1,2;0,000106903547349202;"R";"N";"Compl REW"
"26";1,4;0,000119209656817912;"NR";"N";"Compl non-REW"
"28";1,4;0,00010800427204743;"R";"N";"Compl REW"
"30";1,6;0,000117330168654165;"NR";"N";"Compl non-REW"
"32";1,6;0,000109023579569213;"R";"N";"Compl REW"
"34";1,8;0,000115464590768165;"NR";"N";"Compl non-REW"
"36";1,8;0,000109958960768934;"R";"N";"Compl REW"
"38";2;0,000113613205894539;"NR";"N";"Compl non-REW"
"40";2;0,000110808098850927;"R";"N";"Compl REW"
"42";2,2;0,000111776286505773;"NR";"N";"Compl non-REW"
"44";2,2;0,000111568878925597;"R";"N";"Compl REW"
"46";2,4;0,000109954094829472;"NR";"N";"Compl non-REW"
"48";2,4;0,00011223939678229;"R";"N";"Compl REW"
"50";2,6;0,000108146882872239;"NR";"N";"Compl non-REW"
"52";2,6;0,000112817966827974;"R";"N";"Compl REW"
"54";2,8;0,000106354892450091;"NR";"N";"Compl non-REW"
"56";2,8;0,000113303129145479;"R";"N";"Compl REW"
"58";3;0,000104578355225235;"NR";"N";"Compl non-REW"
"60";3;0,000113693655629911;"R";"N";"Compl REW"
"62";3,2;0,00010281749274911;"NR";"N";"Compl non-REW"
"64";3,2;0,000113988555167175;"R";"N";"Compl REW"
"66";3,4;0,000101072516511525;"NR";"N";"Compl non-REW"
"68";3,4;0,000114187077824063;"R";"N";"Compl REW"
"70";3,6;9,93436279957769e-05;"NR";"N";"Compl non-REW"
"72";3,6;0,000114288718025116;"R";"N";"Compl REW"
"74";3,8;9,76310187395825e-05;"NR";"N";"Compl non-REW"
