"";"x";"predicted";"conf.low";"conf.high";"group";"facet";"stimuli"
"2";0;0,0414866467950142;0,0497146010241002;0,0331874516199252;"NR";"N";"Compl non-REW"
"4";0;0,0360819841506921;0,0435500429203837;0,0285556140167993;"R";"N";"Compl REW"
"6";0,04;0,0550033520091846;0,0645918093073923;0,0453166076591055;"NR";"N";"Compl non-REW"
"8";0,04;0,047882208703019;0,0566901918321845;0,0389919826393138;"R";"N";"Compl REW"
"10";0,08;0,079733172810674;0,0915145798528935;0,0677989823018008;"NR";"N";"Compl non-REW"
"12";0,08;0,0695298963735783;0,080562051876869;0,0583653682014226;"R";"N";"Compl REW"
"14";0,12;0,102157056945527;0,115716058703926;0,0883901507798448;"NR";"N";"Compl non-REW"
"16";0,12;0,0892258388292044;0,102112918502122;0,076153795115798;"R";"N";"Compl REW"
"18";0,16;0,127502820831273;0,142906339082053;0,111822473588142;"NR";"N";"Compl non-REW"
"20";0,16;0,111567031389739;0,126423693383642;0,096457706401283;"R";"N";"Compl REW"
"22";0,2;0,155684052172874;0,172977481650459;0,138029008958709;"NR";"N";"Compl non-REW"
"24";0,2;0,136509016683956;0,153429025849407;0,119250835387755;"R";"N";"Compl REW"
"26";0,24;0,180006775426059;0,198819724946553;0,160752068812084;"NR";"N";"Compl non-REW"
"28";0,24;0,158124882805958;0,176734339456463;0,139094769867422;"R";"N";"Compl REW"
"30";0,28;0,200538350773671;0,220565697268467;0,179996407209928;"NR";"N";"Compl non-REW"
"32";0,28;0,17643776291795;0,196414831206139;0,155964066179052;"R";"N";"Compl REW"
"34";0,32;0,216619159079891;0,237558253058926;0,195105010470884;"NR";"N";"Compl non-REW"
"36";0,32;0,190824406864384;0,211836625499004;0,169252008264246;"R";"N";"Compl REW"
"38";0,36;0,240647873294571;0,262887633605713;0,217737106823111;"NR";"N";"Compl non-REW"
"40";0,36;0,212395038991314;0,23489747300518;0,189230785785009;"R";"N";"Compl REW"
"42";0,4;0,260206076683258;0,283449591893776;0,236208586604776;"NR";"N";"Compl non-REW"
"44";0,4;0,23001935241463;0,253684894004319;0,205603380002578;"R";"N";"Compl REW"
"46";0,44;0,275377646051548;0,299368224338409;0,25056559796196;"NR";"N";"Compl non-REW"
"48";0,44;0,243733344112495;0,268270806003185;0,218373054540504;"R";"N";"Compl REW"
"50";0,48;0,291968970789793;0,316747800623582;0,266291511711207;"NR";"N";"Compl non-REW"
"52";0,48;0,258774405760766;0,284234324963417;0,232408872460636;"R";"N";"Compl REW"
"54";0,52;0,308526002684248;0,334060341383346;0,282012592616801;"NR";"N";"Compl non-REW"
"56";0,52;0,273831081481616;0,300178015106139;0,246492237162089;"R";"N";"Compl REW"
"58";0,56;0,327894254819793;0,354271185161938;0,300439871469068;"NR";"N";"Compl non-REW"
"60";0,56;0,291505145414176;0,318850647144496;0,263061827967305;"R";"N";"Compl REW"
"62";0,6;0,348592354416658;0,375820416529641;0,320176545401883;"NR";"N";"Compl non-REW"
"64";0,6;0,310467649687247;0,338832134779424;0,280886311724769;"R";"N";"Compl REW"
"66";0,64;0,370612655303804;0,398686814896687;0,341227767031803;"NR";"N";"Compl non-REW"
"68";0,64;0,330729534105513;0,360121671903095;0,299987299381096;"R";"N";"Compl REW"
"70";0,68;0,390421294490804;0,419204559980522;0,360211577766854;"NR";"N";"Compl non-REW"
"72";0,68;0,349036836658335;0,379305322489273;0,317292293004294;"R";"N";"Compl REW"
"74";0,72;0,40521344702863;0,434494575829922;0,374416179801014;"NR";"N";"Compl non-REW"
"76";0,72;0,362759307800672;0,39365069968064;0,3302941067454;"R";"N";"Compl REW"
"78";0,76;0,422018779220151;0,451828492389099;0,390588005877741;"NR";"N";"Compl non-REW"
"80";0,76;0,378404497320499;0,409969929757003;0,345150377179495;"R";"N";"Compl REW"
"82";0,8;0,437356754461994;0,467615472001269;0,405378246171918;"NR";"N";"Compl non-REW"
"84";0,8;0,39273637518112;0,424883825507676;0,358791968677127;"R";"N";"Compl REW"
"86";0,84;0,4457021585127;0,476192805832696;0,413436660475981;"NR";"N";"Compl non-REW"
"88";0,84;0,400556078842544;0,433006681999665;0,366248237492609;"R";"N";"Compl REW"
"90";0,88;0,459538201796761;0,490390761065134;0,426817779191769;"NR";"N";"Compl non-REW"
"92";0,88;0,413555140004237;0,446487293933973;0,378663633108314;"R";"N";"Compl REW"
"94";0,92;0,474667047952283;0,505881491589134;0,441480726162777;"NR";"N";"Compl non-REW"
"96";0,92;0,427819479239049;0,461245318397613;0,392319808034828;"R";"N";"Compl REW"
"98";0,96;0,48832958180599;0,5198383240861;0,454753200874409;"NR";"N";"Compl non-REW"
"100";0,96;0,440748185224205;0,474588359023045;0,404728468237843;"R";"N";"Compl REW"
"102";1;0,499865885993931;0,531598467414447;0,465983532094979;"NR";"N";"Compl non-REW"
"104";1;0,451700546057529;0,485867856815362;0,415262602856466;"R";"N";"Compl REW"
"106";1,04;0,510006955868552;0,541918622476335;0,475872202893034;"NR";"N";"Compl non-REW"
"108";1,04;0,461355999620463;0,495793720789188;0,424566152569546;"R";"N";"Compl REW"
"110";1,08;0,522798991123875;0,55491314365602;0,488367720532281;"NR";"N";"Compl non-REW"
"112";1,08;0,473573429432478;0,508328033657126;0,436362141488812;"R";"N";"Compl REW"
"114";1,12;0,53755896386977;0,569875569496244;0,50281430969466;"NR";"N";"Compl non-REW"
"116";1,12;0,487724590945648;0,522811052489342;0,450058313188526;"R";"N";"Compl REW"
"118";1,16;0,550943891207513;0,58341422372339;0,515942693372337;"NR";"N";"Compl non-REW"
"120";1,16;0,500609305521463;0,535965547716585;0,462559160199086;"R";"N";"Compl REW"
"122";1,2;0,566296510812801;0,598908619918733;0,531032762421773;"NR";"N";"Compl non-REW"
"124";1,2;0,515451169978731;0,551081736492945;0,476992611437181;"R";"N";"Compl REW"
"126";1,24;0,574277663977155;0,606949031774349;0,538890571350282;"NR";"N";"Compl non-REW"
"128";1,24;0,523194238573829;0,558952203706789;0,484537195197657;"R";"N";"Compl REW"
"130";1,28;0,584865583779684;0,61759842372164;0,549330875652212;"NR";"N";"Compl non-REW"
"132";1,28;0,533496148251227;0,569407279406829;0,494590053922308;"R";"N";"Compl REW"
"134";1,32;0,600005714896388;0,632790173654303;0,564294262744136;"NR";"N";"Compl non-REW"
"136";1,32;0,548288242367982;0,584386550146483;0,509054598558055;"R";"N";"Compl REW"
"138";1,36;0,609842434251551;0,64263781785784;0,574037394784543;"NR";"N";"Compl non-REW"
"140";1,36;0,557938563527715;0,594138501530237;0,518509850397896;"R";"N";"Compl REW"
"142";1,4;0,613120409012648;0,645915722014337;0,577287591603824;"NR";"N";"Compl non-REW"
"144";1,4;0,561161562504601;0,597391906319777;0,521670882313753;"R";"N";"Compl REW"
"146";1,44;0,620978295044306;0,653764950587863;0,585086914015687;"NR";"N";"Compl non-REW"
"148";1,44;0,568902492425713;0,605197763364427;0,529270495981741;"R";"N";"Compl REW"
"150";1,48;0,627507476940375;0,660277926634302;0,591575906856175;"NR";"N";"Compl non-REW"
"152";1,48;0,575350695712849;0,611690332127245;0,53561024473217;"R";"N";"Compl REW"
"154";1,52;0,633372852584448;0,66612213418311;0,59741127225312;"NR";"N";"Compl non-REW"
"156";1,52;0,581156121391756;0,617527978955003;0,541325417299065;"R";"N";"Compl REW"
"158";1,56;0,637275716372063;0,670007006638309;0,601297880318346;"NR";"N";"Compl non-REW"
"160";1,56;0,585025916677147;0,621414713122241;0,545139508062171;"R";"N";"Compl REW"
"162";1,6;0,640518916887073;0,673232715716928;0,604530026928593;"NR";"N";"Compl non-REW"
"164";1,6;0,58824584162297;0,624646275172971;0,548315426951192;"R";"N";"Compl REW"
"166";1,64;0,648285470892048;0,68094860760725;0,612278419918787;"NR";"N";"Compl non-REW"
"168";1,64;0,595972411248173;0,63239269745903;0,555943825532621;"R";"N";"Compl REW"
"170";1,68;0,657959886317394;0,690542301648365;0,621946909089096;"NR";"N";"Compl non-REW"
"172";1,68;0,605628802117095;0,642054630450826;0,565496148433257;"R";"N";"Compl REW"
"174";1,72;0,66117977856155;0,693731418147057;0,625168400359388;"NR";"N";"Compl non-REW"
"176";1,72;0,608850692755595;0,645273355797681;0,56868821934189;"R";"N";"Compl REW"
"178";1,76;0,666324013255014;0,698822616592652;0,63031864188935;"NR";"N";"Compl non-REW"
"180";1,76;0,614006574949473;0,650420121164719;0,573800057718881;"R";"N";"Compl REW"
"182";1,8;0,676568972191512;0,708944026163597;0,640592741078551;"NR";"N";"Compl non-REW"
"184";1,8;0,624306369843352;0,660684568188291;0,584028044387313;"R";"N";"Compl REW"
"186";1,84;0,681663526160305;0,713966978332839;0,645711848282289;"NR";"N";"Compl non-REW"
"188";1,84;0,629444248622617;0,665794224374741;0,589140658559946;"R";"N";"Compl REW"
"190";1,88;0,686104674285456;0,718340393565946;0,650179602418392;"NR";"N";"Compl non-REW"
"192";1,88;0,633932069680914;0,670252684324365;0,59361085522856;"R";"N";"Compl REW"
"194";1,92;0,688637951248501;0,720833083046827;0,652729891991491;"NR";"N";"Compl non-REW"
"196";1,92;0,636495738226787;0,672797628187758;0,596166288173755;"R";"N";"Compl REW"
"198";1,96;0,693062000658281;0,725182275238337;0,657187557601673;"NR";"N";"Compl non-REW"
"200";1,96;0,640979519423686;0,677243958671194;0,60064045604669;"R";"N";"Compl REW"
"202";2;0,701267215619545;0,733237655472791;0,665465241648461;"NR";"N";"Compl non-REW"
"204";2;0,649318350831136;0,685500036652207;0,608974138646247;"R";"N";"Compl REW"
"206";2,04;0,702528876282149;0,734475055660233;0,666739146990536;"NR";"N";"Compl non-REW"
"208";2,04;0,65060323433862;0,686770724871997;0,6102596099782;"R";"N";"Compl REW"
"210";2,08;0,7069338926365;0,738791860981774;0,671190401616078;"NR";"N";"Compl non-REW"
"212";2,08;0,655095026505855;0,691209024843889;0,614757391530448;"R";"N";"Compl REW"
"214";2,12;0,71194872784633;0,743699610212448;0,676264497849088;"NR";"N";"Compl non-REW"
"216";2,12;0,660219576117333;0,696265773070079;0,619895532943929;"R";"N";"Compl REW"
"218";2,16;0,718816070107305;0,750409941340665;0,683222950246528;"NR";"N";"Compl non-REW"
"220";2,16;0,667256439256177;0,703198426582614;0,626961960000199;"R";"N";"Compl REW"
"222";2,2;0,72130653616832;0,752840766673847;0,68574895731285;"NR";"N";"Compl non-REW"
"224";2,2;0,669813994108465;0,705714951538768;0,629533341715229;"R";"N";"Compl REW"
"226";2,24;0,725649545708952;0,757075256931876;0,690158479457166;"NR";"N";"Compl non-REW"
"228";2,24;0,674281275410742;0,710106478374347;0,634028773899083;"R";"N";"Compl REW"
"230";2,28;0,729965684544024;0,761277532220571;0,694546842607409;"NR";"N";"Compl non-REW"
"232";2,28;0,678730224321534;0,71447434733911;0,638511398879189;"R";"N";"Compl REW"
"234";2,32;0,735492267612237;0,766650071217017;0,700174151079412;"NR";"N";"Compl non-REW"
"236";2,32;0,684440679458554;0,720071983320958;0,64427396027761;"R";"N";"Compl REW"
"238";2,36;0,739783354054663;0,770816183302955;0,704548498219011;"NR";"N";"Compl non-REW"
"240";2,36;0,688885448216915;0,724422892931763;0,648765220881636;"R";"N";"Compl REW"
"242";2,4;0,742843375724073;0,773784373146376;0,707670374815527;"NR";"N";"Compl non-REW"
"244";2,4;0,692060999655347;0,727527932661262;0,651977434386418;"R";"N";"Compl REW"
"246";2,44;0,744676540684815;0,775561191167268;0,709541904915128;"NR";"N";"Compl non-REW"
"248";2,44;0,693965774337679;0,729389006844913;0,653905607511437;"R";"N";"Compl REW"
"250";2,48;0,748953303895356;0,779703700261819;0,713910566360121;"NR";"N";"Compl non-REW"
"252";2,48;0,698416687555002;0,733733958270144;0,658414968148381;"R";"N";"Compl REW"
